number_of_reviews,calculated_host_listings_count,neighbourhood_group,room_type,price
0.009208103130755065,0.049689440993788817,0.0,0.5,158
0.001841620626151013,0.012422360248447204,0.25,0.0,73
0.0,0.36024844720496896,0.25,0.5,499
0.011049723756906077,0.06211180124223602,0.25,0.5,260
0.10865561694290976,0.0,0.0,0.5,115
0.0,0.02173913043478261,0.0,0.5,1680
0.0,1.0,0.25,0.5,204
0.001841620626151013,0.28260869565217395,0.25,0.5,160
0.0,0.13664596273291924,0.25,0.5,300
0.0055248618784530384,0.13975155279503104,0.25,0.5,150
0.011049723756906077,1.0,0.25,0.5,230
0.020257826887661142,1.0,0.25,0.5,229
0.0,0.0,0.0,0.0,98
0.003683241252302026,0.0,0.5,0.0,109
0.003683241252302026,0.009316770186335404,0.25,0.0,75
0.1565377532228361,0.0,0.0,0.0,32
0.0,0.7049689440993788,0.25,0.5,356
0.009208103130755065,0.0031055900621118036,0.0,1.0,30
0.01289134438305709,0.06211180124223602,0.25,0.5,300
0.1731123388581952,0.018633540372670804,0.0,0.0,259
0.0055248618784530384,0.015527950310559004,0.25,0.5,195
0.0,0.2546583850931677,0.25,0.5,189
0.003683241252302026,0.02173913043478261,0.5,0.0,59
0.06445672191528545,0.037267080745341616,0.0,1.0,21
0.1675874769797422,0.006211180124223604,0.0,0.0,86
0.020257826887661142,0.037267080745341616,0.0,0.0,119
0.0,1.0,0.25,0.5,699
0.0,0.18633540372670807,0.25,0.5,185
0.02578268876611418,0.0,0.5,0.0,37
0.001841620626151013,0.0,0.25,0.0,209
0.003683241252302026,0.0,0.25,0.5,105
0.0,0.7049689440993788,0.25,0.5,269
0.020257826887661142,0.0,0.0,0.0,59
0.0,0.006211180124223604,0.25,0.0,285
0.03314917127071823,0.006211180124223604,0.25,0.0,339
0.0055248618784530384,0.0,0.25,0.0,119
0.003683241252302026,0.06521739130434782,0.0,0.5,80
0.027624309392265196,1.0,0.25,0.5,211
0.0,0.006211180124223604,0.5,0.5,499
0.0,0.18633540372670807,0.25,0.5,250
0.007366482504604052,0.0031055900621118036,0.5,0.0,99
0.0,0.08385093167701863,0.25,0.0,60
0.003683241252302026,0.07142857142857142,0.25,1.0,33
0.0,0.031055900621118012,0.5,0.5,95
0.0055248618784530384,0.015527950310559004,0.0,0.0,45
0.007366482504604052,0.018633540372670804,0.25,0.5,2000
0.0,1.0,0.25,0.5,275
0.001841620626151013,0.08695652173913043,0.25,0.5,135
0.022099447513812154,0.0,0.25,0.0,113
0.001841620626151013,0.13975155279503104,0.25,0.5,367
0.0,0.015527950310559004,0.25,0.0,210
0.13996316758747698,0.012422360248447204,0.5,0.0,55
0.0,0.08385093167701863,0.25,0.0,60
0.0,0.015527950310559004,0.0,1.0,32
0.17495395948434622,0.0031055900621118036,0.5,0.0,25
0.0055248618784530384,0.015527950310559004,0.25,0.0,50
0.0,0.027950310559006212,0.0,1.0,35
0.014732965009208104,0.0,0.0,0.0,75
0.0,0.012422360248447204,0.25,0.5,299
0.20626151012891344,0.009316770186335404,0.0,0.0,75
0.03130755064456722,0.018633540372670804,0.25,0.5,1000
0.0,0.28260869565217395,0.25,0.5,227
0.009208103130755065,0.06521739130434782,0.0,0.0,36
0.01289134438305709,0.0031055900621118036,0.0,0.0,97
0.10865561694290976,0.02173913043478261,0.5,0.0,40
0.0,0.36024844720496896,0.25,0.5,369
0.6132596685082873,0.0,0.5,0.0,33
0.04604051565377532,0.0031055900621118036,0.25,0.5,525
0.0055248618784530384,0.0031055900621118036,0.0,0.0,54
0.014732965009208104,0.009316770186335404,0.25,0.5,99
0.001841620626151013,0.28260869565217395,0.25,0.5,207
0.07918968692449356,0.0031055900621118036,0.0,0.0,38
0.001841620626151013,0.015527950310559004,0.0,0.0,55
0.0055248618784530384,0.13975155279503104,0.25,0.5,150
0.0,0.7049689440993788,0.25,0.5,280
0.0,0.0,0.0,0.5,85
0.0055248618784530384,0.2670807453416149,0.25,0.5,185
0.001841620626151013,0.7049689440993788,0.25,0.5,211
0.01841620626151013,0.006211180124223604,0.25,0.0,379
0.0,0.7049689440993788,0.25,0.5,314
0.011049723756906077,0.02173913043478261,0.25,0.5,150
0.007366482504604052,0.28260869565217395,0.25,0.5,117
0.0,0.009316770186335404,0.25,0.5,155
0.01289134438305709,1.0,0.25,0.5,229
0.0,0.05590062111801242,0.25,0.5,300
0.001841620626151013,0.13664596273291924,0.25,0.5,737
0.0,0.7049689440993788,0.25,0.5,302
0.0,0.06211180124223602,0.0,0.0,48
0.0,0.08695652173913043,0.25,0.5,159
0.14917127071823205,0.015527950310559004,0.0,0.0,39
0.001841620626151013,0.006211180124223604,0.25,0.0,250
0.0,0.09937888198757763,0.5,0.0,32
0.30386740331491713,0.0,0.0,0.0,35
0.0,0.08385093167701863,0.25,0.0,60
0.014732965009208104,0.08074534161490682,0.25,0.5,150
0.0,1.0,0.25,0.5,302
0.0423572744014733,0.012422360248447204,0.0,0.5,139
0.2707182320441989,0.0,0.25,0.0,98
0.289134438305709,0.006211180124223604,0.0,0.0,44
0.007366482504604052,0.11801242236024845,0.5,0.0,38
0.03130755064456722,0.0,0.25,0.5,165
0.007366482504604052,0.012422360248447204,0.25,0.0,45
0.0,0.0031055900621118036,0.25,0.5,196
0.001841620626151013,0.02484472049689441,0.25,0.5,290
0.003683241252302026,0.0031055900621118036,0.0,0.0,55
0.0,0.04037267080745341,0.25,0.5,534
0.0,0.36024844720496896,0.25,0.5,269
0.08287292817679558,0.0,0.25,0.0,99
0.01289134438305709,0.2670807453416149,0.25,0.5,142
0.001841620626151013,0.012422360248447204,0.25,0.0,125
0.03314917127071823,0.02173913043478261,0.25,0.5,339
0.016574585635359115,1.0,0.25,0.5,203
0.0,0.7049689440993788,0.25,0.5,240
0.3683241252302026,0.018633540372670804,0.25,0.0,155
0.01289134438305709,1.0,0.25,0.5,229
0.020257826887661142,0.0031055900621118036,0.5,0.0,65
0.0,0.7049689440993788,0.25,0.5,305
0.7808471454880295,0.0,0.5,0.0,50
0.007366482504604052,0.006211180124223604,0.25,0.0,50
0.0055248618784530384,0.28260869565217395,0.25,0.5,202
0.06998158379373849,0.006211180124223604,0.5,0.0,60
0.14732965009208104,0.0031055900621118036,0.0,0.5,169
0.01841620626151013,0.012422360248447204,0.0,0.5,139
0.1252302025782689,0.0031055900621118036,0.0,0.5,99
0.3388581952117864,0.0,0.0,0.0,46
0.02578268876611418,0.02484472049689441,0.25,0.5,500
0.001841620626151013,0.28260869565217395,0.25,0.5,249
0.007366482504604052,1.0,0.25,0.5,245
0.0,0.009316770186335404,0.25,0.5,275
0.014732965009208104,1.0,0.25,0.5,262
0.0,0.02173913043478261,0.5,1.0,30
0.03867403314917127,0.012422360248447204,0.5,0.0,69
0.014732965009208104,0.13664596273291924,0.25,0.5,699
0.001841620626151013,0.13975155279503104,0.25,0.5,150
0.0,0.2670807453416149,0.25,0.5,165
0.020257826887661142,0.2670807453416149,0.25,0.5,125
